Date  Time Temperature
11/12/2015 21:31 23 
11/12/2015 21:32 23 
11/12/2015 21:34 23 
11/12/2015 21:35 23 
11/12/2015 21:36 23 
11/12/2015 21:38 23 
11/12/2015 21:39 23 
11/12/2015 21:40 23 
11/12/2015 21:42 23 
11/12/2015 21:43 23 
11/12/2015 21:44 23 
11/12/2015 21:46 23 
11/12/2015 21:47 49 
11/12/2015 21:49 43 
11/12/2015 21:50 39 
11/12/2015 21:51 36 
11/12/2015 21:53 33 
11/12/2015 21:54 31 
11/12/2015 21:55 30 
11/12/2015 21:57 29 
11/12/2015 21:58 28 
11/12/2015 22:00 27 
11/12/2015 22:01 26 
11/12/2015 22:02 25 
11/12/2015 22:04 25 
11/12/2015 22:05 25 
11/12/2015 22:06 24 
11/12/2015 22:08 24 
11/12/2015 22:09 24 
11/12/2015 22:10 24 
11/12/2015 22:12 23 
